monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
450,450,1,9,0,5,881.79999,47,1,0,450,450,TRUE,1,0,1
260,260,0,11.5,1,5,1170.9301,23,1,0,260,260,TRUE,1,0,1
380,380,0,10,1,5,1170.9301,21,1,0,380,380,TRUE,1,0,1
3200,2200,0,10.5,1,2,3581.49,45,1,0,3200,2200,TRUE,1,0,1
2060,1400,1,9,1,2,3224.9099,44,1,0,2060,1400,TRUE,1,0,1
NA,NA,0,9,0,7,507.98001,46,0,1,0,0,FALSE,1,0,1
100,100,1,9,0,7,1618.12,34,1,0,100,100,TRUE,1,0,1
2500,2300,0,9,0,4,494.87,34,1,0,2500,2300,TRUE,1,0,1
NA,NA,1,10,0,4,360.23001,34,0,0,0,0,FALSE,1,0,1
180,180,0,7,1,3,5039.8198,27,1,0,180,180,TRUE,1,0,1
450,450,1,9,1,3,2843.4399,62,1,0,450,450,TRUE,1,0,1
850,650,0,9,1,3,4593.8701,23,1,0,850,650,TRUE,1,0,1
2200,1300,0,10.5,1,1,458.34,60,1,0,2200,1300,TRUE,1,0,1
2300,1600,0,9,1,3,337.5,53,1,0,2300,1600,TRUE,1,0,1
400,400,1,9,0,5,404.54999,33,1,0,400,400,TRUE,1,0,1
2800,2000,0,9,0,5,232.21001,34,1,0,2800,2000,TRUE,1,0,1
450,450,1,10,0,5,1101.8199,30,1,0,450,450,TRUE,1,0,1
1800,1500,0,7,0,5,2604.6001,36,1,0,1800,1500,TRUE,1,0,1
2800,1700,0,10,1,4,836.79999,27,1,0,2800,1700,TRUE,1,0,1
NA,NA,0,9,0,4,1378.05,52,0,1,0,0,FALSE,1,0,1
450,450,1,9,0,4,1138.38,47,1,0,450,450,TRUE,1,0,1
600,500,1,9,1,4,770.14001,21,1,0,600,500,TRUE,1,0,1
2500,2000,0,11.5,1,1,4244.7402,31,1,0,2500,2000,TRUE,1,0,1
NA,NA,0,9,0,4,5017.2002,61,0,1,0,0,FALSE,1,0,1
200,200,1,9,0,4,4569.4199,58,1,0,200,200,TRUE,1,0,1
850,670,1,11.5,0,4,4910.25,21,1,0,850,670,TRUE,1,0,1
1750,1250,1,13.5,0,2,10983.43,38,1,0,1750,1250,TRUE,1,0,1
2100,1500,0,9,0,2,13133.51,39,1,0,2100,1500,TRUE,1,0,1
2600,1900,0,10.5,0,4,387.98999,47,1,0,2600,1900,TRUE,1,0,1
880,597,1,15,0,4,349.37,44,1,0,880,597,TRUE,1,0,1
3100,2080,1,16,1,3,1349.22,34,1,0,3100,2080,TRUE,1,0,1
4225,2900,0,10.5,1,4,2146.02,30,1,0,4225,2900,TRUE,1,0,1
NA,NA,1,11.5,1,4,1187.3101,29,0,0,0,0,FALSE,1,0,1
4773,3555,0,18,0,3,3416.04,39,1,0,4773,3555,TRUE,1,0,1
3528,2689,1,13,0,3,2856.8,39,1,0,3528,2689,TRUE,1,0,1
NA,NA,1,10.5,0,4,1818.21,37,0,0,0,0,FALSE,1,0,1
3000,2000,0,9,0,4,1782.36,41,1,0,3000,2000,TRUE,1,0,1
450,450,1,9,0,2,4973.27,55,1,0,450,450,TRUE,1,0,1
450,450,0,7,0,2,4236.0498,64,1,0,450,450,TRUE,1,0,1
2700,1500,1,10.5,0,4,185.03999,54,1,0,2700,1500,TRUE,1,0,1
2400,1600,0,10.5,0,4,458.44,49,1,0,2400,1600,TRUE,1,0,1
NA,NA,1,10.5,1,1,1450.6,63,0,0,0,0,FALSE,1,0,1
NA,NA,1,13.5,0,3,6453.6802,36,0,0,0,0,FALSE,1,0,1
400,400,1,10.5,0,3,493.32001,41,1,0,400,400,TRUE,1,0,1
3430,2300,0,9,0,3,348.12,48,1,0,3430,2300,TRUE,1,0,1
NA,NA,1,15,0,3,883.42999,50,0,1,0,0,FALSE,1,0,1
NA,NA,0,13,1,1,1431.92,39,0,1,0,0,FALSE,1,0,1
4600,2800,0,10.5,1,1,5535.3398,56,1,0,4600,2800,TRUE,1,0,1
1085,858,1,7,1,1,8208.1396,53,1,0,1085,858,TRUE,1,0,1
500,450,1,10.5,0,5,1303.37,36,1,0,500,450,TRUE,1,0,1
2300,1900,1,12,1,2,616.73999,45,1,0,2300,1900,TRUE,1,0,1
500,500,1,12,0,2,1148.8,60,1,0,500,500,TRUE,1,0,1
NA,NA,0,12,1,5,7102.27,24,0,1,0,0,FALSE,1,0,1
NA,NA,0,10.5,0,5,7422.4702,51,0,1,0,0,FALSE,1,0,1
NA,NA,1,10.5,0,5,7877.2202,47,0,1,0,0,FALSE,1,0,1
NA,NA,0,10,1,5,7102.27,23,0,0,0,0,FALSE,1,0,1
NA,NA,1,14.5,0,4,3578.48,34,0,0,0,0,FALSE,1,0,1
NA,NA,0,12,0,3,890.12,64,0,1,0,0,FALSE,1,0,1
NA,NA,1,7,0,3,889.98999,54,0,1,0,0,FALSE,1,0,1
150,150,1,9,0,4,661.90002,55,1,0,150,150,TRUE,1,0,1
2700,2000,0,9,0,4,732.79999,65,1,0,2700,2000,TRUE,1,0,1
2630,1940,0,13.5,1,4,1407.5601,30,1,0,2630,1940,TRUE,1,0,1
1100,786,1,12,1,4,1022.91,24,1,0,1100,786,TRUE,1,0,1
1200,900,0,9,1,2,393.98001,38,1,0,1200,900,TRUE,1,0,1
750,650,1,10.5,1,2,226.14999,60,1,0,750,650,TRUE,1,0,1
1150,900,1,9,1,4,7967.25,41,1,0,1150,900,TRUE,1,0,1
2728,1700,0,11.5,1,4,7607.2002,42,1,0,2728,1700,TRUE,1,0,1
NA,NA,1,7,0,7,3303.3701,40,0,1,0,0,FALSE,1,0,1
